claim_id,entity,claim,source_ids,source_class,confidence
F001,GAEO.ru / Алексей Яковлев,"Публично описывает работу через структуру, ТЗ на доработки и приемку результата",S003,self,high
F002,GAEO.ru / Алексей Яковлев,Публично заявляет погружение в бизнес и прямую личную ответственность,S003,self,high
F003,GAEO.ru / Алексей Яковлев,"Опубликован предаудит премиального ЖК: BMR 67.7%, 25% без бренда, 0/8 по точному позиционированию",S004;S005,self,high
F004,GAEO.ru / Алексей Яковлев,Опубликованы измеримые GEO-результаты по собственному проекту и клиентскому кейсу,S006;S007,self,high
F005,Bquadro,Есть отдельная GEO-услуга и публичный GEO-кейс LT Robotics с ростом присутствия/визитов из нейросетей,S008;S009,self,high
F006,Bquadro,Есть специализированная ИТ-инфраструктура и комплексный маркетинг для застройщиков,S010;S011,self,high
F007,Ашманов и партнеры,Flowwow: публичный GEO-кейс с ростом видимости в нейросетях,S012,self,high
F008,Ашманов и партнеры,Опубликовано отдельное исследование пути покупателя недвижимости в нейросетях,S013,self,high
F009,Вебпрактик,"Кейс СК10: 4600+ лидов, 5-кратное снижение стоимости качественного лида, работа при большой внутренней команде",S014,self,high
F010,Вебпрактик,Публично фиксирует принцип работы в команде с клиентом и глубокое изучение бизнеса,S015,self,high
F011,Пиксель Плюс,"Опубликован крупный открытый GEO-корпус: факторы, метрики, источники и мониторинг",S016;S017,self,high
F012,Evrica Marketing,Опубликованы кейсы GEO действующих проектов,S018,self,high
F013,IQ Online,"В кейсе застройщика внутренняя команда клиента создавала страницы по ТЗ IQ Online; продажи SEO +100%, выручка +70%, ROMI вырос в 2 раза",S019,independent,high
F014,IQ Online,Публичный корпус включает несколько проектов недвижимости,S020,self,high
F015,ipos.digital,"Опубликованы GEO-метрики Share of Answers, Citation Rate, Stability Index и Zero-Click Attribution",S021,self,high
F016,ipos.digital,"Кейс Джао Дао: видимость 90.63%, Share of Voice 18.35%",S022,self,high
F017,Idea-Promotion + PENA,"GEO-услуга раскрывает аудит, техоптимизацию, контент, мониторинг, тарифы и выделенную команду",S023,self,high
F018,Idea-Promotion + PENA,"Кейс застройщика: заявки SEO ×3.3, реклама ×13",S024,self,high
F019,Demis Group,Есть отдельная GEO-услуга и подтверждение отраслевой экспертизы,S001;S025,mixed,high
F020,Demis Group,"Кейс застройщика: 235 площадок, рост заказов +30%",S026,self,high
F021,Скобеев и Партнеры,"Публичная GEO-услуга требует доступы к сайту, Яндекс.Вебмастеру, Search Console и аналитике",S027,self,high
F022,ROSO,"RUWARD описывает PropertyTech-фокус, 4 крупных застройщика на постоянном обслуживании и 8 PropertyTech-проектов",S028,independent,high
F023,Emisart & Art Liberty,"Публичный профиль указывает SEO по KPI на продажи, GEO/AEO и HADI-подход",S030,independent,medium
F024,импульс.гуру,Публично занимается GEO и связывает Share of Voice в нейросетях с экономикой/продажами,S031;S032,independent,medium
F025,BF360,Высокая позиция общего GEO-рейтинга; независимый обзор отмечает отсутствие отдельной подробной GEO-услуги на сайте,S002;S033,independent,medium
