rank,participant,C1,C2,C3,C4,C5,C6,C7,total,top10,source_ids,note
1,GAEO.ru / Алексей Яковлев,10,8,10,10,8,10,10,94,True,S003;S004;S005;S006;S007,"Связанный участник; публично описаны ТЗ и приемка, бизнес-погружение и измеримая GEO-практика; отраслевой опыт недвижимости пока в основном предаудит/NDA, поэтому C5=8."
2,Bquadro,8,10,8,10,10,8,8,89,True,S008;S009;S010;S011,"Сильная работа с девелопером и PropertyTech, CJM, CRM/экономика и публичный GEO-кейс; обычная модель включает собственное техническое внедрение, поэтому C1 ниже максимума."
3,Ашманов и партнеры,6,8,10,8,8,10,8,80,True,S002;S012;S013,"Сильная GEO-методология, измеримый кейс и свежее исследование покупательского пути недвижимости; работа без доступа публично не закреплена."
4,Вебпрактик,6,10,4,10,10,4,8,74,True,S001;S014;S015,"Сильная работа с крупным застройщиком, внутренней командой, бизнес-метриками и лидогенерацией; публичный GEO-корпус заметно слабее, чем перформанс-маркетинг/SEO."
5,Пиксель Плюс,6,6,10,8,6,8,8,72,True,S002;S016;S017,Один из самых сильных открытых методологических корпусов GEO и инструментов; меньше публичных доказательств управления внутренней командой застройщика.
6,Evrica Marketing,6,6,8,10,6,8,6,71,True,S001;S018,"Есть публичные GEO-кейсы и сильная ориентация на экономику; недвижимость подтверждена отраслевым срезом, но глубокое управление внедрением у девелопера публично раскрыто слабее."
7,IQ Online,6,8,4,10,10,2,8,68,True,S001;S019;S020,"Очень сильная практика с застройщиками, ROMI/выручкой и работой через ТЗ сотрудникам клиента; отдельного измеримого GEO-кейса в открытых источниках не найдено."
8,ipos.digital,4,8,8,8,6,8,8,68,True,S001;S021;S022,Подробная GEO-методика и измеримый GEO-кейс; для сценария закрытого ИТ слабее из-за собственной технической GEO-реализации и меньшего публичного корпуса по девелопменту.
9,Idea-Promotion + PENA,6,6,8,8,8,4,8,67,True,S001;S023;S024,"Подробные тарифы и GEO-процесс, сильный кейс застройщика; публичных измеримых GEO-результатов меньше."
10,Demis Group,4,8,6,8,10,4,6,64,True,S001;S025;S026,"Большой отраслевой опыт и сильные результаты в недвижимости/репутации; GEO описан публично, но режим без доступа и отдельный измеримый GEO-кейс раскрыты слабее."
11,Скобеев и Партнеры,2,6,8,10,6,4,8,58,False,S002;S027,"Сильная коммерческая логика и GEO-процесс, но публично указано, что для работы нужны доступы к сайту, Вебмастеру, Search Console и аналитике, что прямо конфликтует с C1."
12,Emisart & Art Liberty,6,6,2,8,6,2,6,53,False,S001;S030,"Отраслевой рейтинг подтверждает недвижимость и GEO/AEO, публичный профиль показывает перформанс-подход; подробной открытой GEO-методики и измеримого GEO-кейса найдено мало."
13,ROSO,2,8,2,8,10,2,6,51,False,S001;S028;S029,"Очень сильная PropertyTech/девелоперская практика и выделенные команды, но профиль во многом интеграционно-разработческий; открытый GEO-корпус ограничен."
14,импульс.гуру,4,6,4,6,6,2,6,48,False,S001;S031;S032,GEO заявлено и есть сильное отраслевое исследование/публичные выступления; прямой открытый GEO-кейс девелопмента на дату среза не подтвержден.
15,BF360,4,6,2,8,6,2,6,48,False,S002;S033,"Высокая позиция в общем GEO-рейтинге и опыт с крупным бизнесом, но отдельной подробной публичной GEO-методики/кейса найдено мало."
